chapter,md_file,slide_id,slide_title,need_image,image_priority,image_role,image_type,concept_keywords_zh,concept_keywords_en,search_query_zh,search_query_en,preferred_source_type,avoid_source_type,license_requirement,suggested_caption_zh,insertion_position,layout_hint,reason,existing_image_detected,notes
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,14,4.1.9 建模流程总览,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.1.9 建模流程总览,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.1.9 建模流程总览的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：模型训练；模型评估；特征工程；交叉验证。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,15,4.1.10 训练集、验证集和测试集,yes,low,概念示意,schematic,4.1.10 训练集、验证集和测试集；机器学习 材料性能预测,machine learning materials property prediction workflow; concept diagram,机器学习 材料性能预测 4.1.10 训练集、验证集和测试集 教学示意图,machine learning materials property prediction workflow 4.1.10 训练集、验证集和测试集 concept diagram open educational resource,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.1.10 训练集、验证集和测试集的教学示意图,right,右侧 35% 宽度,本页包含较抽象的框架、流程或应用关系，可用简洁示意图辅助讲解。,no,低优先级，建议人工审核是否确有必要。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,16,4.1.11 损失函数的作用,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.1.11 损失函数的作用,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.1.11 损失函数的作用的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归；分类；模型训练。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,17,4.1.12 从经验拟合到泛化预测,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.1.12 从经验拟合到泛化预测,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.1.12 从经验拟合到泛化预测的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：过拟合；欠拟合。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,18,4.1.13 机器学习与材料机理的关系,yes,medium,模拟结果,simulation,相场；相图；分子动力学；有限元；高通量；材料数据库；材料基因；机器学习 材料性能预测,CALPHAD; Materials Project; phase-field; phase diagram; DFT; machine learning materials property prediction workflow,材料信息学 CALPHAD 相图 高通量材料设计 4.1.13 机器学习与材料机理的关系,materials informatics CALPHAD phase diagram high-throughput materials design machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.1.13 机器学习与材料机理的关系的教学示意图,right,右侧 40% 宽度,本页涉及材料应用相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：相图。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,19,4.1.14 Python建模流程骨架,yes,high,数据流程,flowchart,数据采集；数据清洗；数据预处理；缺失值；异常值；数据标准化；数据流；机器学习 材料性能预测,Pandas; NumPy; CSV; machine learning materials property prediction workflow,Python Pandas 数据预处理 数据清洗 流程图 4.1.14 Python建模流程骨架,Python pandas data preprocessing workflow missing values feature scaling diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.1.14 Python建模流程骨架的教学示意图,bottom,底部横向流程图,本页涉及数据流程相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：Pandas；CSV。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,20,4.1.15 本节小结,no,none,,,,,,,,,,,none,不建议插图,封面、目录、过渡或总结类页面通常以文字结构为主，避免装饰性配图。,no,可人工判断是否需要主题图。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,21,4.2 特征工程与材料描述符 △★,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.2 特征工程与材料描述符 △★,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.2 特征工程与材料描述符 △★的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：特征工程。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,22,4.2.1 为什么需要特征工程,yes,medium,材料组织,microscopy,显微组织；晶粒；组织识别；金相；机器学习 材料性能预测,microstructure; SEM; EBSD; machine learning materials property prediction workflow,材料显微组织识别 图像 4.2.1 为什么需要特征工程,materials microstructure recognition microscopy image machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.2.1 为什么需要特征工程的教学示意图,right,右侧 40% 宽度,本页涉及材料组织相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：显微组织。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,23,4.2.2 材料描述符的层级,yes,high,材料组织,microscopy,显微组织；晶粒；组织识别；金相；机器学习 材料性能预测,microstructure; SEM; EBSD; machine learning materials property prediction workflow,材料显微组织识别 图像 4.2.2 材料描述符的层级,materials microstructure recognition microscopy image machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.2.2 材料描述符的层级的教学示意图,right,右侧 40% 宽度,本页涉及材料组织相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：显微组织；晶粒；EBSD。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,24,4.2.3 成分描述符：从元素含量开始,no,none,,,,,,,,,,,none,不建议插图,本页文字信息已能支撑讲解，或页面内容较密，插图可能降低可读性。,no,
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,25,4.2.4 混合熵描述符,no,none,,,,,,,,,,,none,不建议插图,本页文字信息已能支撑讲解，或页面内容较密，插图可能降低可读性。,no,
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,26,4.2.5 工艺描述符,no,none,,,,,,,,,,,none,不建议插图,本页文字信息已能支撑讲解，或页面内容较密，插图可能降低可读性。,no,
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,27,4.2.6 组织描述符,yes,high,材料组织,microscopy,显微组织；晶粒；组织识别；金相；机器学习 材料性能预测,microstructure; SEM; EBSD; machine learning materials property prediction workflow,材料显微组织识别 图像 4.2.6 组织描述符,materials microstructure recognition microscopy image machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.2.6 组织描述符的教学示意图,right,右侧 40% 宽度,本页涉及材料组织相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：显微组织；晶粒。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,28,4.2.7 性能与单位的一致性,yes,low,概念示意,schematic,4.2.7 性能与单位的一致性；机器学习 材料性能预测,machine learning materials property prediction workflow; concept diagram,机器学习 材料性能预测 4.2.7 性能与单位的一致性 教学示意图,machine learning materials property prediction workflow 4.2.7 性能与单位的一致性 concept diagram open educational resource,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.2.7 性能与单位的一致性的教学示意图,right,右侧 35% 宽度,本页包含较抽象的框架、流程或应用关系，可用简洁示意图辅助讲解。,no,低优先级，建议人工审核是否确有必要。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,29,4.2.8 类别变量编码,no,none,,,,,,,,,,,none,不建议插图,本页文字信息已能支撑讲解，或页面内容较密，插图可能降低可读性。,no,
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,30,4.2.9 特征标准化,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.2.9 特征标准化,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.2.9 特征标准化的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：随机森林；KNN。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,31,4.2.10 特征归一化,yes,medium,数据流程,flowchart,数据采集；数据清洗；数据预处理；缺失值；异常值；数据标准化；数据流；机器学习 材料性能预测,Pandas; NumPy; CSV; machine learning materials property prediction workflow,Python Pandas 数据预处理 数据清洗 流程图 4.2.10 特征归一化,Python pandas data preprocessing workflow missing values feature scaling diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.2.10 特征归一化的教学示意图,bottom,底部横向流程图,本页涉及数据流程相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：异常值。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,32,4.2.11 特征交互项,no,none,,,,,,,,,,,none,不建议插图,本页文字信息已能支撑讲解，或页面内容较密，插图可能降低可读性。,no,
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,33,4.2.12 特征选择的必要性,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.2.12 特征选择的必要性,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.2.12 特征选择的必要性的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：交叉验证；过拟合。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,34,4.2.13 相关系数筛选,yes,low,概念示意,schematic,4.2.13 相关系数筛选；机器学习 材料性能预测,machine learning materials property prediction workflow; concept diagram,机器学习 材料性能预测 4.2.13 相关系数筛选 教学示意图,machine learning materials property prediction workflow 4.2.13 相关系数筛选 concept diagram open educational resource,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.2.13 相关系数筛选的教学示意图,right,右侧 35% 宽度,本页包含较抽象的框架、流程或应用关系，可用简洁示意图辅助讲解。,no,低优先级，建议人工审核是否确有必要。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,35,4.2.14 多重共线性,no,none,,,,,,,,,,,none,不建议插图,本页文字信息已能支撑讲解，或页面内容较密，插图可能降低可读性。,no,
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,36,4.2.15 数据泄漏：特征工程中的常见错误,yes,high,数据流程,flowchart,数据采集；数据清洗；数据预处理；缺失值；异常值；数据标准化；数据流；机器学习 材料性能预测,Pandas; NumPy; CSV; machine learning materials property prediction workflow,Python Pandas 数据预处理 数据清洗 流程图 4.2.15 数据泄漏：特征工程中的常见错误,Python pandas data preprocessing workflow missing values feature scaling diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.2.15 数据泄漏：特征工程中的常见错误的教学示意图,bottom,底部横向流程图,本页涉及数据流程相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：缺失值；数据标准化。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,37,4.2.16 使用 Pipeline 防止泄漏,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.2.16 使用 Pipeline 防止泄漏,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.2.16 使用 Pipeline 防止泄漏的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：交叉验证。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,38,4.2.17 matminer 与材料描述符,no,none,,,,,,,,,,,none,不建议插图,本页以代码阅读或演示为主，插图可能挤压 4:3 板书式排版空间。,no,若后续需要运行结果截图，可人工补充。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,39,4.2.18 本节小结,no,none,,,,,,,,,,,none,不建议插图,封面、目录、过渡或总结类页面通常以文字结构为主，避免装饰性配图。,no,可人工判断是否需要主题图。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,40,4.3 回归模型,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.3 回归模型,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.3 回归模型的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归；随机森林。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,41,4.3.1 回归问题的定义,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.3.1 回归问题的定义,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.3.1 回归问题的定义的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,42,4.3.2 线性回归模型,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.3.2 线性回归模型,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.3.2 线性回归模型的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,43,4.3.3 最小二乘估计,no,none,,,,,,,,,,,none,不建议插图,本页文字信息已能支撑讲解，或页面内容较密，插图可能降低可读性。,no,
