chapter,md_file,slide_id,slide_title,need_image,candidate_rank,download_status,local_path,relative_path,file_name,file_ext,file_size_bytes,width_px,height_px,sha256,source_page_url,direct_image_url,source_title,source_author,source_license,attribution_text,search_query_used,image_role,image_type,caption_zh,layout_hint,duplicate_of,quality_notes
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,17,人工智能发展简史：起伏与复兴,yes,1,not_found,,,,,,,,,,,,,,,neural network architecture Transformer attention mechanism CNN diagram AI big data materials science overview | 神经网络 Transformer 注意力机制 CNN 架构图 人工智能发展简史：起伏与复兴 | CNN RNN Transformer embedding AI big data materials science overview diagram,算法流程,algorithm_diagram,人工智能发展简史：起伏与复兴的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,18,人工智能的三大主要学派,yes,1,not_found,,,,,,,,,,,,,,,neural network architecture Transformer attention mechanism CNN diagram AI big data materials science overview | 神经网络 Transformer 注意力机制 CNN 架构图 人工智能的三大主要学派 | CNN RNN Transformer embedding AI big data materials science overview diagram,算法流程,algorithm_diagram,人工智能的三大主要学派的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,19,符号主义：知识、规则与推理,yes,1,not_found,,,,,,,,,,,,,,,materials informatics CALPHAD phase diagram high-throughput materials design AI big data materials science overview | 材料信息学 CALPHAD 相图 高通量材料设计 符号主义：知识、规则与推理 | CALPHAD Materials Project phase-field phase diagram DFT diagram,模拟结果,simulation,符号主义：知识、规则与推理的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,20,连接主义：从数据中学习表示,yes,1,not_found,,,,,,,,,,,,,,,neural network architecture Transformer attention mechanism CNN diagram AI big data materials science overview | 神经网络 Transformer 注意力机制 CNN 架构图 连接主义：从数据中学习表示 | CNN RNN Transformer embedding AI big data materials science overview diagram,算法流程,algorithm_diagram,连接主义：从数据中学习表示的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,21,行为主义：环境、行动与反馈,yes,1,not_found,,,,,,,,,,,,,,,Bayesian optimization active learning loop acquisition function AI agent workflow AI big data materials science overview | 贝叶斯优化 主动学习 闭环 AI Agent 流程图 行为主义：环境、行动与反馈 | AI Agent AI big data materials science overview diagram,算法流程,flowchart,行为主义：环境、行动与反馈的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,22,三大学派的互补关系,yes,1,not_found,,,,,,,,,,,,,,,Bayesian optimization active learning loop acquisition function AI agent workflow AI big data materials science overview | 贝叶斯优化 主动学习 闭环 AI Agent 流程图 三大学派的互补关系 | AI Agent AI big data materials science overview diagram,算法流程,flowchart,三大学派的互补关系的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,23,人工智能系统的基本组成,yes,1,not_found,,,,,,,,,,,,,,,machine learning workflow feature engineering model training evaluation diagram AI big data materials science overview | 机器学习流程 特征工程 模型训练 评估 示意图 人工智能系统的基本组成 | SVM KNN AI big data materials science overview diagram,算法流程,flowchart,人工智能系统的基本组成的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,24,AI 的核心不是“替代人”，而是“增强人”,yes,1,not_found,,,,,,,,,,,,,,,Bayes theorem diagram probability prior posterior likelihood AI big data materials science overview | 贝叶斯定理 先验 后验 概率图示 AI 的核心不是“替代人”，而是“增强人” | Bayes AI big data materials science overview diagram,算法流程,algorithm_diagram,AI 的核心不是“替代人”，而是“增强人”的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,27,从数据到大数据,yes,1,not_found,,,,,,,,,,,,,,,AI big data materials science overview 从数据到大数据 concept diagram open educational resource | 人工智能与大数据材料科学概论 从数据到大数据 教学示意图 | AI big data materials science overview concept diagram diagram,概念示意,schematic,从数据到大数据的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,29,4V 之一：Volume 海量性,yes,1,not_found,,,,,,,,,,,,,,,materials informatics CALPHAD phase diagram high-throughput materials design AI big data materials science overview | 材料信息学 CALPHAD 相图 高通量材料设计 4V 之一：Volume 海量性 | CALPHAD Materials Project phase-field phase diagram DFT diagram,模拟结果,simulation,4V 之一：Volume 海量性的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,30,4V 之二：Velocity 高速性,yes,1,not_found,,,,,,,,,,,,,,,AI big data materials science overview 4V 之二：Velocity 高速性 concept diagram open educational resource | 人工智能与大数据材料科学概论 4V 之二：Velocity 高速性 教学示意图 | AI big data materials science overview concept diagram diagram,概念示意,schematic,4V 之二：Velocity 高速性的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,31,4V 之三：Variety 多样性,yes,1,not_found,,,,,,,,,,,,,,,materials microstructure recognition microscopy image AI big data materials science overview | 材料显微组织识别 图像 4V 之三：Variety 多样性 | microstructure SEM EBSD AI big data materials science overview diagram,材料组织,microscopy,4V 之三：Variety 多样性的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,32,4V 之四：Value 价值性,yes,1,not_found,,,,,,,,,,,,,,,AI big data materials science overview 4V 之四：Value 价值性 concept diagram open educational resource | 人工智能与大数据材料科学概论 4V 之四：Value 价值性 教学示意图 | AI big data materials science overview concept diagram diagram,概念示意,schematic,4V 之四：Value 价值性的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,33,4V 之间的关系,yes,1,not_found,,,,,,,,,,,,,,,neural network architecture Transformer attention mechanism CNN diagram AI big data materials science overview | 神经网络 Transformer 注意力机制 CNN 架构图 4V 之间的关系 | CNN RNN Transformer embedding AI big data materials science overview diagram,算法流程,algorithm_diagram,4V 之间的关系的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,34,数据驱动科学的基本思想,yes,1,not_found,,,,,,,,,,,,,,,AI big data materials science overview 数据驱动科学的基本思想 concept diagram open educational resource | 人工智能与大数据材料科学概论 数据驱动科学的基本思想 教学示意图 | AI big data materials science overview concept diagram diagram,概念示意,schematic,数据驱动科学的基本思想的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,35,科学研究的四种范式,yes,1,not_found,,,,,,,,,,,,,,,AI big data materials science overview 科学研究的四种范式 concept diagram open educational resource | 人工智能与大数据材料科学概论 科学研究的四种范式 教学示意图 | AI big data materials science overview concept diagram diagram,概念示意,schematic,科学研究的四种范式的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,36,数据驱动与物理驱动的互补,yes,1,not_found,,,,,,,,,,,,,,,trustworthy AI framework data privacy fairness explainability robustness diagram AI big data materials science overview | 可信AI 数据安全 隐私 公平性 可解释性 示意图 数据驱动与物理驱动的互补 | 可信AI AI big data materials science overview diagram,安全合规案例,schematic,数据驱动与物理驱动的互补的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,37,材料数据的特殊困难,yes,1,not_found,,,,,,,,,,,,,,,AI big data materials science overview 材料数据的特殊困难 concept diagram open educational resource | 人工智能与大数据材料科学概论 材料数据的特殊困难 教学示意图 | AI big data materials science overview concept diagram diagram,概念示意,schematic,材料数据的特殊困难的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,38,数据质量决定模型上限,yes,1,not_found,,,,,,,,,,,,,,,Bayesian optimization active learning loop acquisition function AI agent workflow AI big data materials science overview | 贝叶斯优化 主动学习 闭环 AI Agent 流程图 数据质量决定模型上限 | AI Agent AI big data materials science overview diagram,算法流程,flowchart,数据质量决定模型上限的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,39,数据驱动材料研究的基本流程,yes,1,not_found,,,,,,,,,,,,,,,machine learning workflow feature engineering model training evaluation diagram AI big data materials science overview | 机器学习流程 特征工程 模型训练 评估 示意图 数据驱动材料研究的基本流程 | SVM KNN AI big data materials science overview diagram,算法流程,flowchart,数据驱动材料研究的基本流程的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,40,一个简单例子：强度预测,yes,1,not_found,,,,,,,,,,,,,,,machine learning workflow feature engineering model training evaluation diagram AI big data materials science overview | 机器学习流程 特征工程 模型训练 评估 示意图 一个简单例子：强度预测 | SVM KNN AI big data materials science overview diagram,算法流程,flowchart,一个简单例子：强度预测的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,42,1.3 人工智能、大数据、云计算与材料基因工程,yes,1,not_found,,,,,,,,,,,,,,,materials informatics CALPHAD phase diagram high-throughput materials design AI big data materials science overview | 材料信息学 CALPHAD 相图 高通量材料设计 1.3 人工智能、大数据、云计算与材料基因工程 | CALPHAD Materials Project phase-field phase diagram DFT diagram,模拟结果,simulation,1.3 人工智能、大数据、云计算与材料基因工程的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,43,AI、大数据与云计算的分工,yes,1,not_found,,,,,,,,,,,,,,,AI big data materials science overview AI、大数据与云计算的分工 concept diagram open educational resource | 人工智能与大数据材料科学概论 AI、大数据与云计算的分工 教学示意图 | AI big data materials science overview concept diagram diagram,概念示意,schematic,AI、大数据与云计算的分工的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,44,云计算的基本含义,yes,1,not_found,,,,,,,,,,,,,,,materials informatics CALPHAD phase diagram high-throughput materials design AI big data materials science overview | 材料信息学 CALPHAD 相图 高通量材料设计 云计算的基本含义 | CALPHAD Materials Project phase-field phase diagram DFT diagram,模拟结果,simulation,云计算的基本含义的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,45,为什么材料 AI 需要平台化,yes,1,not_found,,,,,,,,,,,,,,,materials informatics CALPHAD phase diagram high-throughput materials design AI big data materials science overview | 材料信息学 CALPHAD 相图 高通量材料设计 为什么材料 AI 需要平台化 | CALPHAD Materials Project phase-field phase diagram DFT diagram,模拟结果,simulation,为什么材料 AI 需要平台化的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,46,材料基因工程的基本思想,yes,1,not_found,,,,,,,,,,,,,,,materials informatics CALPHAD phase diagram high-throughput materials design AI big data materials science overview | 材料信息学 CALPHAD 相图 高通量材料设计 材料基因工程的基本思想 | CALPHAD Materials Project phase-field phase diagram DFT diagram,模拟结果,simulation,材料基因工程的基本思想的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,47,材料“四要素”关系,yes,1,not_found,,,,,,,,,,,,,,,AI big data materials science overview 材料“四要素”关系 concept diagram open educational resource | 人工智能与大数据材料科学概论 材料“四要素”关系 教学示意图 | AI big data materials science overview concept diagram diagram,概念示意,schematic,材料“四要素”关系的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,48,材料基因工程中的三大支柱,yes,1,not_found,,,,,,,,,,,,,,,materials informatics CALPHAD phase diagram high-throughput materials design AI big data materials science overview | 材料信息学 CALPHAD 相图 高通量材料设计 材料基因工程中的三大支柱 | CALPHAD Materials Project phase-field phase diagram DFT diagram,模拟结果,simulation,材料基因工程中的三大支柱的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,49,高通量计算与 AI,yes,1,not_found,,,,,,,,,,,,,,,materials informatics CALPHAD phase diagram high-throughput materials design AI big data materials science overview | 材料信息学 CALPHAD 相图 高通量材料设计 高通量计算与 AI | CALPHAD Materials Project phase-field phase diagram DFT diagram,模拟结果,simulation,高通量计算与 AI的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,50,高通量实验与 AI,yes,1,not_found,,,,,,,,,,,,,,,materials microstructure recognition microscopy image AI big data materials science overview | 材料显微组织识别 图像 高通量实验与 AI | microstructure SEM EBSD AI big data materials science overview diagram,材料组织,microscopy,高通量实验与 AI的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,51,材料数据库与 AI,yes,1,not_found,,,,,,,,,,,,,,,materials informatics CALPHAD phase diagram high-throughput materials design AI big data materials science overview | 材料信息学 CALPHAD 相图 高通量材料设计 材料数据库与 AI | CALPHAD Materials Project phase-field phase diagram DFT diagram,模拟结果,simulation,材料数据库与 AI的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,52,从数据库到知识库,yes,1,not_found,,,,,,,,,,,,,,,retrieval augmented generation workflow vector database knowledge graph diagram AI big data materials science overview | 检索增强生成 RAG 向量数据库 知识图谱 流程图 从数据库到知识库 | RAG GraphRAG AI big data materials science overview diagram,数据流程,flowchart,从数据库到知识库的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,53,一个材料 AI 闭环,yes,1,not_found,,,,,,,,,,,,,,,materials informatics CALPHAD phase diagram high-throughput materials design AI big data materials science overview | 材料信息学 CALPHAD 相图 高通量材料设计 一个材料 AI 闭环 | CALPHAD Materials Project phase-field phase diagram DFT diagram,模拟结果,simulation,一个材料 AI 闭环的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,54,技术系统中的角色分工,yes,1,not_found,,,,,,,,,,,,,,,materials informatics CALPHAD phase diagram high-throughput materials design AI big data materials science overview | 材料信息学 CALPHAD 相图 高通量材料设计 技术系统中的角色分工 | CALPHAD Materials Project phase-field phase diagram DFT diagram,模拟结果,simulation,技术系统中的角色分工的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,56,1.4 现代 AI 技术谱系,yes,1,not_found,,,,,,,,,,,,,,,neural network architecture Transformer attention mechanism CNN diagram AI big data materials science overview | 神经网络 Transformer 注意力机制 CNN 架构图 1.4 现代 AI 技术谱系 | CNN RNN Transformer embedding AI big data materials science overview diagram,算法流程,algorithm_diagram,1.4 现代 AI 技术谱系的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,57,AI、机器学习与深度学习的关系,yes,1,not_found,,,,,,,,,,,,,,,neural network architecture Transformer attention mechanism CNN diagram AI big data materials science overview | 神经网络 Transformer 注意力机制 CNN 架构图 AI、机器学习与深度学习的关系 | CNN RNN Transformer embedding AI big data materials science overview diagram,算法流程,algorithm_diagram,AI、机器学习与深度学习的关系的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,58,机器学习的基本定义,yes,1,not_found,,,,,,,,,,,,,,,AI big data materials science overview 机器学习的基本定义 concept diagram open educational resource | 人工智能与大数据材料科学概论 机器学习的基本定义 教学示意图 | AI big data materials science overview concept diagram diagram,概念示意,schematic,机器学习的基本定义的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,59,监督学习,yes,1,not_found,,,,,,,,,,,,,,,Bayes theorem diagram probability prior posterior likelihood AI big data materials science overview | 贝叶斯定理 先验 后验 概率图示 监督学习 | Bayes AI big data materials science overview diagram,算法流程,algorithm_diagram,监督学习的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,60,无监督学习,yes,1,not_found,,,,,,,,,,,,,,,machine learning workflow feature engineering model training evaluation diagram AI big data materials science overview | 机器学习流程 特征工程 模型训练 评估 示意图 无监督学习 | SVM KNN AI big data materials science overview diagram,算法流程,flowchart,无监督学习的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,61,强化学习,yes,1,not_found,,,,,,,,,,,,,,,AI big data materials science overview 强化学习 concept diagram open educational resource | 人工智能与大数据材料科学概论 强化学习 教学示意图 | AI big data materials science overview concept diagram diagram,概念示意,schematic,强化学习的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,62,深度学习的基本思想,yes,1,not_found,,,,,,,,,,,,,,,neural network architecture Transformer attention mechanism CNN diagram AI big data materials science overview | 神经网络 Transformer 注意力机制 CNN 架构图 深度学习的基本思想 | CNN RNN Transformer embedding AI big data materials science overview diagram,算法流程,algorithm_diagram,深度学习的基本思想的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,63,卷积神经网络与显微组织图像,yes,1,not_found,,,,,,,,,,,,,,,materials microstructure recognition microscopy image AI big data materials science overview | 材料显微组织识别 图像 卷积神经网络与显微组织图像 | microstructure SEM EBSD AI big data materials science overview diagram,材料组织,microscopy,卷积神经网络与显微组织图像的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,64,Transformer 与序列/文本数据,yes,1,not_found,,,,,,,,,,,,,,,neural network architecture Transformer attention mechanism CNN diagram AI big data materials science overview | 神经网络 Transformer 注意力机制 CNN 架构图 Transformer 与序列/文本数据 | CNN RNN Transformer embedding AI big data materials science overview diagram,算法流程,algorithm_diagram,Transformer 与序列/文本数据的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,65,生成式 AI 的基本含义,yes,1,not_found,,,,,,,,,,,,,,,large language model Transformer attention mechanism prompt engineering workflow AI big data materials science overview | 大语言模型 提示工程 Transformer 注意力机制 示意图 生成式 AI 的基本含义 | token LLM prompt AI big data materials science overview diagram,概念示意,algorithm_diagram,生成式 AI 的基本含义的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,66,VAE、GAN 与扩散模型,yes,1,not_found,,,,,,,,,,,,,,,materials microstructure recognition microscopy image AI big data materials science overview | 材料显微组织识别 图像 VAE、GAN 与扩散模型 | microstructure SEM EBSD AI big data materials science overview diagram,材料组织,microscopy,VAE、GAN 与扩散模型的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,67,大语言模型的能力边界,yes,1,not_found,,,,,,,,,,,,,,,large language model Transformer attention mechanism prompt engineering workflow AI big data materials science overview | 大语言模型 提示工程 Transformer 注意力机制 示意图 大语言模型的能力边界 | token LLM prompt AI big data materials science overview diagram,概念示意,algorithm_diagram,大语言模型的能力边界的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,68,AI 代理的基本概念,yes,1,not_found,,,,,,,,,,,,,,,Bayesian optimization active learning loop acquisition function AI agent workflow AI big data materials science overview | 贝叶斯优化 主动学习 闭环 AI Agent 流程图 AI 代理的基本概念 | AI Agent AI big data materials science overview diagram,算法流程,flowchart,AI 代理的基本概念的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,69,AI 代理与普通聊天模型的区别,yes,1,not_found,,,,,,,,,,,,,,,Bayesian optimization active learning loop acquisition function AI agent workflow AI big data materials science overview | 贝叶斯优化 主动学习 闭环 AI Agent 流程图 AI 代理与普通聊天模型的区别 | AI Agent AI big data materials science overview diagram,算法流程,flowchart,AI 代理与普通聊天模型的区别的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,72,1.5 当人工智能遇上材料科学,yes,1,not_found,,,,,,,,,,,,,,,AI big data materials science overview 1.5 当人工智能遇上材料科学 concept diagram open educational resource | 人工智能与大数据材料科学概论 1.5 当人工智能遇上材料科学 教学示意图 | AI big data materials science overview concept diagram diagram,概念示意,schematic,1.5 当人工智能遇上材料科学的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,73,材料科学问题的 AI 化,yes,1,not_found,,,,,,,,,,,,,,,machine learning workflow feature engineering model training evaluation diagram AI big data materials science overview | 机器学习流程 特征工程 模型训练 评估 示意图 材料科学问题的 AI 化 | SVM KNN AI big data materials science overview diagram,算法流程,flowchart,材料科学问题的 AI 化的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
