md_file,slide_id,slide_title,need_image,image_type,query_cn,query_en,layout,reason,priority,avoid,source_preference,manual_review
第3章_贝叶斯定理与概率思维_100页_Marp.md,57,3.4.2 最大似然估计 MLE,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,58,MLE 的直观解释,yes,chart,最大似然曲线,maximum likelihood curve,right,MLE直观解释适合似然曲线,medium,避免将概率和似然混用,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,59,例4：正态均值的 MLE,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,60,正态均值 MLE 结果,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,61,3.4.3 最大后验估计 MAP,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,62,MAP 的直观解释,yes,diagram,MAP估计结构,maximum posterior estimate diagram,right,MAP需展示数据和先验共同约束,medium,避免遗漏先验项,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,63,例5：正态先验下的 MAP,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,64,正态均值 MAP 结果,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,65,MAP 是加权平均,yes,chart,MAP加权平均,MAP weighted average shrinkage,center,加权平均可用收缩图说明,medium,避免权重方向标错,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,66,3.4.4 MLE 与 MAP 的比较,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,67,3.4.5 MAP 与正则化,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,68,正则化的概率解释,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,69,Python案例：MLE 与 MAP 对比,no,,,,,该页为代码页，插图会造成拥挤,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,70,如何解释 MLE 与 MAP 的差别？,yes,diagram,MLE MAP对比,MLE MAP comparison diagram,center,两种估计差异适合对比图,medium,避免公式堆砌和错误文字,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,71,3.4.6 不要把 MAP 等同完整贝叶斯,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,72,3.4 小结,no,,,,,小结复习页不建议插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,73,3.5 不确定性量化与概率决策,no,,,,,章节过渡页，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,74,3.5.1 为什么必须量化不确定性？,yes,concept,预测不确定性区间,prediction uncertainty interval,right,不确定性概念需图形引入,high,避免只画单点预测,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,75,3.5.2 两类不确定性,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,76,3.5.3 参数不确定性,yes,chart,参数后验不确定性,parameter posterior uncertainty,right,参数不确定性适合分布图,medium,避免坐标和单位错误,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,77,3.5.4 预测不确定性,yes,chart,预测分布分解,predictive uncertainty decomposition,center,预测不确定性需要分解图,high,避免混淆噪声与参数不确定性,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,78,3.5.5 置信区间与可信区间,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,79,可信区间定义,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,80,3.5.6 预测区间,yes,chart,预测区间示意,prediction interval uncertainty,right,预测区间比参数区间更直观,medium,避免与可信区间混淆,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,81,3.5.7 概率决策：从预测到行动,yes,chart,阈值概率决策,probabilistic threshold decision,right,阈值决策适合概率面积图,high,避免把概率判断画成确定判断,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,82,3.5.8 损失函数与最优决策,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,83,材料决策中的非对称损失,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,84,3.5.9 校准：概率是否可信？,yes,chart,概率校准曲线,probability calibration reliability diagram,center,校准概念需可靠性曲线,medium,避免无坐标说明的抽象图,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,85,3.5.10 外推风险,yes,diagram,训练域外推风险,extrapolation risk training domain,center,外推风险适合训练域图示,high,避免过度装饰科技背景,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,86,3.5.11 探索与利用,yes,chart,探索利用采集函数,exploration exploitation acquisition function,center,采集函数需展示均值与不确定性,high,避免公式和曲线不匹配,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,87,3.5.12 材料实验中的概率目标,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,88,Python案例：计算超过阈值的概率,no,,,,,该页为代码页，插图会造成拥挤,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,89,3.5.13 模型可靠性诊断,yes,workflow,模型可靠性诊断,probabilistic model reliability checklist,center,诊断项较多，适合流程清单图,medium,避免商业流程模板感过强,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,90,3.5 小结,no,,,,,小结复习页不建议插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,91,3.6 材料小样本问题中的贝叶斯方法,no,,,,,章节过渡页，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,92,3.6.1 材料小样本的来源,yes,concept,材料小样本困境,small sample materials dataset,right,小样本来源需直观说明,medium,避免与通用大数据场景混淆,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,93,3.6.2 小样本建模的主要风险,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,94,3.6.3 小样本中的先验价值,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,95,3.6.4 物理约束作为先验,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,96,3.6.5 贝叶斯线性回归用于材料性能预测,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,97,贝叶斯线性回归后验公式,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,98,3.6.6 高斯过程：直接对函数建模,yes,chart,高斯过程回归,Gaussian process regression uncertainty,center,GP核心是均值和置信带,high,避免错误置信带标注,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,99,高斯过程在材料设计中的意义,yes,diagram,GP材料响应面,Gaussian process materials response surface,center,材料设计响应面需图示,high,避免真实论文图未授权,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,100,3.6.7 贝叶斯优化的基本思想,yes,workflow,贝叶斯优化闭环,Bayesian optimization closed loop,center,贝叶斯优化本质是闭环流程,high,避免箭头逻辑错误,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,101,采集函数：平衡探索与利用,yes,chart,UCB采集函数曲线,upper confidence bound acquisition,center,探索利用需曲线图说明,high,避免把均值和采集函数混淆,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,102,3.6.8 小样本分类：组织类别预测,yes,chart,组织分类概率,microstructure classification probability,right,分类不确定性需概率条形图,medium,避免真实显微图未授权,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,103,3.6.9 文献数据中的贝叶斯思路,yes,diagram,文献层级模型,hierarchical Bayesian literature model,center,层级模型关系适合结构图,medium,避免真实文献数据未授权,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,104,3.6.10 多保真材料数据融合,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,105,多保真融合的简化模型,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,106,3.6.11 贝叶斯方法实践流程,yes,workflow,贝叶斯建模实践,Bayesian modeling practice workflow,center,实践流程适合流程图,medium,避免过度复杂工具图标,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,107,3.6.12 适合初学者的工具路线,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,108,Python案例：小样本强度的贝叶斯更新,no,,,,,该页为代码页，插图会造成拥挤,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,109,案例解释：小样本下如何报告结论,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,110,3.6.13 小样本贝叶斯方法的局限,no,,,,,文字说明较完整，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,111,3.6 小结,no,,,,,小结复习页不建议插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,112,本章总结：一条主线,no,,,,,小结复习页不建议插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,113,本章重点与难点,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,114,课堂练习1：检测阳性后的真实缺陷概率,no,,,,,练习或作业页不建议插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,115,课堂练习2：Beta 先验更新,no,,,,,练习或作业页不建议插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,116,课堂练习3：MLE 与 MAP,no,,,,,练习或作业页不建议插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,117,Python编程作业：材料小样本贝叶斯更新,no,,,,,该页为代码页，插图会造成拥挤,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,118,编程作业要求,no,,,,,练习或作业页不建议插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,119,作业提示：可使用的公式,no,,,,,练习或作业页不建议插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,120,作业参考代码框架,no,,,,,该页为代码页，插图会造成拥挤,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,121,延伸阅读与下一章衔接,no,,,,,小结复习页不建议插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,122,谢谢,no,,,,,小结复习页不建议插图,low,not needed,,no
